orig_hname,new_hname,hclass,horder,hfamily,genus,spp,subspp
Abalistes filamentosus,Abalistes filamentosus,Actinopterygii,Tetraodontiformes,Balistidae,Abalistes,filamentosus,NA
Abalistes stellaris,Abalistes stellaris,Actinopterygii,Tetraodontiformes,Balistidae,Abalistes,stellaris,NA
Abbottina rivularis,Abbottina rivularis,Actinopterygii,Cypriniformes,Cyprinidae,Abbottina,rivularis,NA
Ablennes hians,Ablennes hians,Actinopterygii,Beloniformes,Belonidae,Ablennes,hians,NA
Abramis brama,Abramis brama,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,brama,NA
Abudefduf abdominalis,Abudefduf abdominalis,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,abdominalis,NA
Abudefduf bengalensis,Abudefduf bengalensis,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,bengalensis,NA
Abudefduf conformis,Abudefduf conformis,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,conformis,NA
Abudefduf saxatilis,Abudefduf saxatilis,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,saxatilis,NA
Abudefduf sordidus,Abudefduf sordidus,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,sordidus,NA
Abudefduf taurus,Abudefduf taurus,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,taurus,NA
Abudefduf whitleyi,Abudefduf whitleyi,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,whitleyi,NA
Acanthaluteres brownii,Acanthaluteres brownii,Actinopterygii,Tetraodontiformes,Monacanthidae,Acanthaluteres,brownii,NA
Acanthaluteres vittiger,Acanthaluteres vittiger,Actinopterygii,Tetraodontiformes,Monacanthidae,Acanthaluteres,vittiger,NA
Acantharchus pomotis,Acantharchus pomotis,Actinopterygii,Perciformes,Centrarchidae,Acantharchus,pomotis,NA
Acanthicus hystrix,Acanthicus hystrix,Actinopterygii,Siluriformes,Loricariidae,Acanthicus,hystrix,NA
Acanthistius brasilianus,Acanthistius brasilianus,Actinopterygii,Cypriniformes,Serranidae,Acanthistius,brasilianus,NA
Acanthistius pictus,Acanthistius pictus,Actinopterygii,Cypriniformes,Serranidae,Acanthistius,pictus,NA
Acanthobrama terraesanctae,Acanthobrama terraesanctae,Actinopterygii,Cypriniformes,Cyprinidae,Acanthobrama,terraesanctae,NA
Acanthochaenus luetkenii,Acanthochaenus luetkenii,Actinopterygii,Stephanoberyciformes,Stephanoberycidae,Acanthochaenus,luetkenii,NA
Acanthochromis polyacanthus,Acanthochromis polyacanthus,Actinopterygii,Perciformes,Pomacentridae,Acanthochromis,polyacanthus,NA
Acanthoclinus littoreus,Acanthoclinus littoreus,Actinopterygii,Perciformes,Plesiopidae,Acanthoclinus,littoreus,NA
