old_pname	new_pname
Abothrium crassus	Eubothrium crassum
Abothrium gadi	Abothrium gadi
Abothrium rugosum	Eubothrium rugosum
Absonifibula bychowsky	Absonifibula bychowskyi
Absonifibula bychowskyi	Absonifibula bychowskyi
Acaenodera placophora	Acaenodera placophora
Acanthobothrium adlardi	Acanthobothrium adlardi
Acanthobothrium amazonensis	Acanthobothrium amazonensis
Acanthobothrium americanum	Acanthobothrium americanum
Acanthobothrium angelae	Acanthobothrium angelae
Acanthobothrium asnihae	Acanthobothrium asnihae
Acanthobothrium bajaensis	Acanthobothrium bajaensis
Acanthobothrium batailloni	Acanthobothrium batailloni
Acanthobothrium benedeni	Acanthobothrium benedeni
Acanthobothrium bengalense	Acanthobothrium bengalense
Acanthobothrium blairi	Acanthobothrium blairi
Acanthobothrium brachyacanthum	Acanthobothrium brachyacanthum
Acanthobothrium brayi	Acanthobothrium brayi
Acanthobothrium brevissime	Acanthobothrium brevissime
Acanthobothrium bullardi	Acanthobothrium bullardi
Acanthobothrium campbelli	Acanthobothrium campbelli
Acanthobothrium carchariaerondeletii	Acanthobothrium carchariaerondeletii
Acanthobothrium cartagenensis	Acanthobothrium cartagenensis
Acanthobothrium cestraciontis	Acanthobothrium cestraciontis
Acanthobothrium chengai	Acanthobothrium chengai
Acanthobothrium chisholmae	Acanthobothrium chisholmae
Acanthobothrium cimari	Acanthobothrium cimari
Acanthobothrium clarkeae	Acanthobothrium clarkeae
Acanthobothrium cleofanus	Acanthobothrium cleofanus
Acanthobothrium confusum	Acanthobothrium confusum
Acanthobothrium coronatum	Acanthobothrium coronatum
Acanthobothrium costaricensis	Acanthobothrium costaricensis
Acanthobothrium cribbi	Acanthobothrium cribbi
Acanthobothrium dasi	Acanthobothrium dasi
Acanthobothrium dighaense	Acanthobothrium dighaense
Acanthobothrium dollyae	Acanthobothrium dollyae
Acanthobothrium dujardini	Acanthobothrium dujardini
Acanthobothrium edmondsi	Acanthobothrium edmondsi
Acanthobothrium edwardsi	Acanthobothrium edwardsi
Acanthobothrium electricolum	Acanthobothrium electricolum
Acanthobothrium etini	Acanthobothrium etini
Acanthobothrium fillicolle	Acanthobothrium fillicolle
Acanthobothrium floridensis	Acanthobothrium floridensis
Acanthobothrium foulki	Acanthobothrium foulki
Acanthobothrium franus	Acanthobothrium franus
Acanthobothrium gasseri	Acanthobothrium gasseri
Acanthobothrium gloveri	Acanthobothrium gloveri
Acanthobothrium gnomus	Acanthobothrium gnomus
Acanthobothrium goldsteini	Acanthobothrium goldsteini
Acanthobothrium gracile	Acanthobothrium gracile
Acanthobothrium grandiceps	Acanthobothrium grandiceps
Acanthobothrium harpago	Acanthobothrium harpago
Acanthobothrium herdmani	Acanthobothrium herdmani
Acanthobothrium heterodonti	Acanthobothrium heterodonti
Acanthobothrium himanturi	Acanthobothrium himanturi
Acanthobothrium holorhini	Acanthobothrium holorhini
